type,id,title,issues,admin_url,public_url
photos,2482,Columns,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2482,https://holy-land-photos.vercel.app/photos/GSATTZ04
photos,2483,Forest of Columns,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2483,https://holy-land-photos.vercel.app/photos/GSATTZ05
photos,2485,Early Shrine Stairs 1,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2485,https://holy-land-photos.vercel.app/photos/INHVOM13
photos,2525,Yarmuk River,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2525,https://holy-land-photos.vercel.app/photos/Atlas34
photos,2527,Lerna Springhouse 2a,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2527,https://holy-land-photos.vercel.app/photos/GSPLCOAS08
photos,2530,Jordan River 2,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2530,https://holy-land-photos.vercel.app/photos/ICJVQY07
photos,2531,Woman Praying,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2531,https://holy-land-photos.vercel.app/photos/IJWW01
photos,2532,Man Praying,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2532,https://holy-land-photos.vercel.app/photos/IJWW02
photos,2534,Ibex 1,inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2534,https://holy-land-photos.vercel.app/photos/DLANIB02
photos,2541,Plancia Magna Inscription 2,inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2541,https://holy-land-photos.vercel.app/photos/TCMCPAAR01
photos,2566,Spring,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2566,https://holy-land-photos.vercel.app/photos/INJVED02
photos,2568,The Tell 2,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2568,https://holy-land-photos.vercel.app/photos/INJVED04
photos,2572,Mosaic 4,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2572,https://holy-land-photos.vercel.app/photos/ICHESHWL06
photos,2579,Mount Berenice,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2579,https://holy-land-photos.vercel.app/photos/INSGSF03
photos,2580,South Gate,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2580,https://holy-land-photos.vercel.app/photos/INSGSF04
photos,2589,Church Floor,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2589,https://holy-land-photos.vercel.app/photos/ICHESHWL02
photos,2598,Southern Excavations 1,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2598,https://holy-land-photos.vercel.app/photos/ICHESHTL14
photos,2606,Mosaic 5,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2606,https://holy-land-photos.vercel.app/photos/ICHESHBA09
photos,2607,Capital,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2607,https://holy-land-photos.vercel.app/photos/ICHESHBA10
photos,2613,Beatitudes in Hebrew,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2613,https://holy-land-photos.vercel.app/photos/INSGDD09
photos,2621,Mosaic 2,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2621,https://holy-land-photos.vercel.app/photos/TWNAAN06
photos,2624,Steps and Pipe,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2624,https://holy-land-photos.vercel.app/photos/TWNAAN13
photos,2634,Church,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2634,https://holy-land-photos.vercel.app/photos/TWCSHRPC05
photos,2636,General View,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2636,https://holy-land-photos.vercel.app/photos/IJOTEMG03
photos,2637,Gate House 2,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2637,https://holy-land-photos.vercel.app/photos/IJOTEMG05
photos,2638,Overview 2,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2638,https://holy-land-photos.vercel.app/photos/IJOTEMG06
photos,2639,Gate House 3,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2639,https://holy-land-photos.vercel.app/photos/IJOTEMG07
photos,2640,Gate House Interior,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2640,https://holy-land-photos.vercel.app/photos/IJOTEMG08
photos,2641,Junction of Walls,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2641,https://holy-land-photos.vercel.app/photos/IJOTEMG09
photos,2642,Royal Structure,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2642,https://holy-land-photos.vercel.app/photos/IJOTEMG10
photos,2654,Mourners Apses,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2654,https://holy-land-photos.vercel.app/photos/IJTBAN03
photos,2655,Rosette Dome,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2655,https://holy-land-photos.vercel.app/photos/IJTBAN10
photos,2656,Detail of Altar,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2656,https://holy-land-photos.vercel.app/photos/ICSPCMMI04
photos,2658,Medallion Mithras and the Bull,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2658,https://holy-land-photos.vercel.app/photos/ICSPCMMI07
photos,2659,Mithras Slaying Bull,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2659,https://holy-land-photos.vercel.app/photos/ICSPCMMI10
photos,2660,Temple of Apollo Interior 1,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2660,https://holy-land-photos.vercel.app/photos/TWCSDD30
